MM Long;MM Short;Product status;ID MAKE;MAKE;CROSS REFERENCE
350001000002;0010AB;Normal (60);00005;AUDI;4F0616001J
350001000002;0010AB;Normal (60);00253;VAG;4F0616001J
350002500002;0025AB;Normal (60);00074;MERCEDES-BENZ;2513200025
350002500002;0025AB;Normal (60);00074;MERCEDES-BENZ;A2513200025
350002500002;0025AB;Normal (60);00074;MERCEDES-BENZ;A2513200325
350002500002;0025AB;Normal (60);00074;MERCEDES-BENZ;A2513200425
350002500002;0025AB;Normal (60);00074;MERCEDES-BENZ;A251320042564
030607010601;010601;Normal (60);00035;FIAT;51890880
030607010602;010602;Normal (60);00035;FIAT;51890881
030607010603;010603;Normal (60);00035;FIAT;51815197
030607010603;010603;Normal (60);00035;FIAT;51980334
030607010604;010604;Normal (60);00002;ALFA ROMEO;51813198
030607010604;010604;Normal (60);00035;FIAT;51813198
030607010605;010605;Normal (60);00021;CITROËN;16 077 591 80
030607010605;010605;Normal (60);00021;CITROËN;1821.33
030607010605;010605;Normal (60);00021;CITROËN;1821.36
030607010605;010605;Normal (60);00021;CITROËN;182136
030607010605;010605;Normal (60);00035;FIAT;1343242080
030607010605;010605;Normal (60);00035;FIAT;1358086080
030607010605;010605;Normal (60);00035;FIAT;1367173080
030607010605;010605;Normal (60);00088;PEUGEOT;16 077 591 80
030607010605;010605;Normal (60);00088;PEUGEOT;1821.36
030607010605;010605;Normal (60);00088;PEUGEOT;182136
030607010606;010606;Normal (60);00035;FIAT;1343241080
030607010606;010606;Normal (60);00035;FIAT;1358087080
030607010606;010606;Normal (60);00035;FIAT;1363376080
030607010606;010606;Normal (60);00035;FIAT;71753299
030607010607;010607;Normal (60);00021;CITROËN;1846.C1
030607010607;010607;Normal (60);00021;CITROËN;1846C1
030607010607;010607;Normal (60);00035;FIAT;1343262080
030607010607;010607;Normal (60);00035;FIAT;1352888080
030607010607;010607;Normal (60);00088;PEUGEOT;1846.C1
030607010607;010607;Normal (60);00088;PEUGEOT;1846C1
030607010608;010608;Normal (60);00021;CITROËN;182137
030607010608;010608;Normal (60);00035;FIAT;1343243080
030607010608;010608;Normal (60);00035;FIAT;1358088080
030607010608;010608;Normal (60);00088;PEUGEOT;182137
030607010609;010609;Normal (60);00035;FIAT;50706256
030607010610;010610;Normal (60);00021;CITROËN;5033.A7
030607010610;010610;Normal (60);00021;CITROËN;5033.A9
030607010610;010610;Normal (60);00021;CITROËN;5033.E6
030607010610;010610;Normal (60);00021;CITROËN;5033000000
030607010610;010610;Normal (60);00021;CITROËN;5033A6
030607010610;010610;Normal (60);00021;CITROËN;5033a7
030607010610;010610;Normal (60);00021;CITROËN;5033a9
030607010610;010610;Normal (60);00035;FIAT;50705220
030607010610;010610;Normal (60);00035;FIAT;50705790
